Odds Conversion Chart

Decimal         Fractional          American            Chance of Winning

1000            999/1               +99900              0.1%
100             99/1                +9900               1.00%
11.00           10/1                +1000               9.09%
10.00	        9/1                 +900                10.00%
9.00            8/1                 +800                11.11%
8.00            7/1                 +700                12.50%
7.00            6/1                 +600                14.29%
6.00            5/1                 +500                16.67%
5.00            4/1                 +400                20.00%
4.00            3/1                 +300                25.00%
3.00            2/1                 +200                33.33%
2.50            6/4                 +150                40.00%
2.00            Even                +100                50.00%
1.80            4/5                 -125                55.56%
1.67            4/6                 -150                59.88%
1.50            1/2                 -200                66.67%
1.40            2/5                 -250                71.43%
1.33            1/3                 -300                75.19%
1.25            1/4                 -400                80.00%
1.20            1/5                 -500                83.33%
1.17            1/6                 -600                85.47%
1.14            1/7                 -700                87.72%
1.13            2/15                -800                88.50%
1.11            1/9                 -900                90.09%
1.10            1/10                -1000               90.91%
1.01            1/100               -10000              99.01%


